发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,记录数,利润率,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
3,￥3,￥626,"￥1,783","￥1,361",准时装运,1,46%,"Fellowes 搁板, 工业",￥626,2018/9/17,中国,中南,深圳,收纳具,白锦,0%,5,广东,办公用品,消费者,CN-2018-2067445,2018/9/14,二级,"￥1,361"
2,￥3,￥189,￥506,￥386,提前装运,1,49%,"Smead 文件夹, 金属",￥189,2016/12/22,中国,中南,岳阳,收纳具,唐欢悦,0%,5,湖南,办公用品,消费者,CN-2016-4167270,2016/12/20,二级,￥386
4,￥3,￥85,￥267,￥204,延迟装运,1,42%,"Harbour Creations 文件夹标签, 白色",￥85,2017/7/9,中国,中南,南阳,标签,卢伟,0%,5,河南,办公用品,消费者,CN-2017-4190541,2017/7/5,二级,￥204
2,￥3,￥20,￥441,￥337,提前装运,1,6%,"Fiskars 尺子, 蓝色",￥20,2016/7/16,中国,中南,广州,用品,陶博,0%,5,广东,办公用品,消费者,US-2016-4364300,2016/7/14,二级,￥337
2,￥3,￥66,￥868,￥662,提前装运,1,10%,"Stiletto 开信刀, 蓝色",￥66,2017/11/25,中国,中南,惠州,用品,马丽,0%,5,广东,办公用品,消费者,CN-2017-4282122,2017/11/23,二级,￥662
4,￥3,￥90,￥396,￥302,延迟装运,1,30%,"Kleencut 尺子, 钢",￥90,2017/10/13,中国,中南,桂林,用品,韩丽华,0%,5,广西,办公用品,消费者,CN-2017-2919347,2017/10/9,二级,￥302
3,￥3,￥83,￥731,￥558,准时装运,1,15%,"Enermax 计划信息表, 多色",￥83,2018/9/17,中国,中南,深圳,纸张,白锦,0%,5,广东,办公用品,消费者,CN-2018-2067445,2018/9/14,二级,￥558
2,￥3,￥92,￥463,￥354,提前装运,1,26%,"Eaton 备忘录便条, 多色",￥92,2015/6/26,中国,中南,武汉,纸张,秦芯,0%,5,湖北,办公用品,消费者,CN-2015-4870971,2015/6/24,二级,￥354
5,￥3,￥32,￥852,￥650,延迟装运,1,5%,"Avery 打孔机, 实惠",￥32,2017/8/27,中国,中南,安阳,装订机,程安,0%,5,河南,办公用品,消费者,CN-2017-4451680,2017/8/22,二级,￥650
3,￥3,￥335,￥879,￥671,准时装运,1,50%,"Rogers 盒, 蓝色",￥335,2018/3/17,中国,中南,南宁,收纳具,葛彩,0%,6,广西,办公用品,消费者,CN-2018-1628412,2018/3/14,二级,￥671
2,￥3,￥115,￥400,￥305,提前装运,1,38%,"Smead 可去除的标签, 耐用",￥115,2015/8/14,中国,中南,广州,标签,贺恒,0%,6,广东,办公用品,消费者,CN-2015-5173564,2015/8/12,二级,￥305
5,￥3,￥92,￥247,￥188,延迟装运,1,49%,"Smead 圆形标签, 红色",￥92,2018/11/5,中国,中南,信阳,标签,付丽,0%,6,河南,办公用品,消费者,CN-2018-4015472,2018/10/31,二级,￥188
2,￥3,￥78,￥933,￥712,提前装运,1,11%,"Acme 剪刀, 蓝色",￥78,2018/6/25,中国,中南,南宁,用品,廖宣,0%,6,广西,办公用品,消费者,CN-2018-3636322,2018/6/23,二级,￥712
2,￥3,￥247,￥648,￥495,提前装运,1,50%,"施乐 备忘录便条, 每包 12 个",￥247,2017/5/22,中国,中南,洛阳,纸张,徐虎,0%,6,河南,办公用品,消费者,CN-2017-2351493,2017/5/20,二级,￥495
2,￥3,￥137,￥528,￥403,提前装运,1,34%,"Avery 装订机, 耐用",￥137,2016/4/1,中国,中南,深圳,装订机,秦蔓楚,0%,6,广东,办公用品,消费者,CN-2016-4502739,2016/3/30,二级,￥403
3,￥3,￥25,￥237,￥181,准时装运,1,14%,"Ibico 孔加固材料, 透明",￥25,2017/11/7,中国,中南,岳阳,装订机,邱升,0%,6,湖南,办公用品,消费者,CN-2017-2829745,2017/11/4,二级,￥181
5,￥3,￥169,￥470,￥359,延迟装运,1,47%,"Novimex 运输标签, 白色",￥169,2016/7/7,中国,中南,深圳,标签,韩廉,0%,7,广东,办公用品,消费者,CN-2016-1069751,2016/7/2,二级,￥359
4,￥3,￥115,￥301,￥229,延迟装运,1,50%,"Avery 文件夹标签, 可调",￥115,2015/8/10,中国,中南,南宁,标签,林青,0%,7,广西,办公用品,消费者,CN-2015-2098822,2015/8/6,二级,￥229
5,￥3,￥179,"￥2,137","￥1,631",延迟装运,1,11%,"Acme 大剪刀, 蓝色",￥179,2016/9/10,中国,中南,肇庆,用品,施黎明,0%,7,广东,办公用品,消费者,CN-2016-5630783,2016/9/5,二级,"￥1,631"
3,￥3,￥119,￥557,￥425,准时装运,1,28%,"Advantus 图钉, 每包 12 个",￥119,2015/6/13,中国,中南,洛阳,系固件,余丽娜,0%,7,河南,办公用品,消费者,US-2015-3069391,2015/6/10,二级,￥425
3,￥3,￥8,￥536,￥409,准时装运,1,2%,"Harbour Creations 合法证物标签, 白色",￥8,2018/3/5,中国,中南,安阳,标签,许绅,0%,8,河南,办公用品,消费者,CN-2018-1826929,2018/3/2,二级,￥409
2,￥3,￥49,￥502,￥383,提前装运,1,13%,"Novimex 可去除的标签, 耐用",￥49,2015/6/26,中国,中南,武汉,标签,秦芯,0%,8,湖北,办公用品,消费者,CN-2015-4870971,2015/6/24,二级,￥383
2,￥3,￥604,"￥2,473","￥1,887",提前装运,1,32%,"Acco 订书机, 透明",￥604,2016/8/16,中国,中南,岳阳,装订机,曹伟,0%,8,湖南,办公用品,消费者,CN-2016-5313470,2016/8/14,二级,"￥1,887"
3,￥3,￥774,"￥2,984","￥2,277",准时装运,1,34%,"Cuisinart 烤面包机, 银色",￥774,2017/11/7,中国,中南,岳阳,器具,邱升,0%,9,湖南,办公用品,消费者,CN-2017-2829745,2017/11/4,二级,"￥2,277"
2,￥3,"￥3,601","￥11,237","￥8,576",提前装运,1,42%,"Tenex 锁柜, 单宽度","￥3,601",2017/8/23,中国,中南,韶关,收纳具,杨健,0%,9,广东,办公用品,消费者,CN-2017-5250870,2017/8/21,二级,"￥8,576"
2,￥3,￥0,"￥11,411","￥8,708",提前装运,1,0%,"Fellowes 锁柜, 蓝色",￥0,2015/6/26,中国,中南,武汉,收纳具,秦芯,0%,9,湖北,办公用品,消费者,CN-2015-4870971,2015/6/24,二级,"￥8,708"
4,￥3,￥306,"￥1,088",￥830,延迟装运,1,37%,"OIC 夹子, 整包",￥306,2017/12/2,中国,中南,新乡,系固件,薛娇,0%,9,河南,办公用品,消费者,CN-2017-5181244,2017/11/28,二级,￥830
5,￥3,￥165,"￥3,619","￥2,762",延迟装运,1,6%,"Wilson Jones 订书机, 回收",￥165,2015/12/7,中国,中南,南宁,装订机,田谙,0%,12,广西,办公用品,消费者,CN-2015-5308381,2015/12/2,二级,"￥2,762"
2,￥3,￥417,"￥4,215","￥3,216",提前装运,1,13%,"Cardinal 订书机, 透明",￥417,2018/7/9,中国,中南,怀化,装订机,苏升,0%,14,湖南,办公用品,消费者,US-2018-3924364,2018/7/7,二级,"￥3,216"
2,￥3,(￥18),￥262,￥200,提前装运,1,-9%,"Boston 画布, 蓝色",(￥18),2016/12/13,中国,中南,广州,美术,付立,20%,1,广东,办公用品,消费者,US-2016-2501800,2016/12/11,二级,￥200
2,￥3,￥15,￥74,￥56,提前装运,1,27%,"Binney & Smith 钢笔, 混合尺寸",￥15,2016/1/13,中国,中南,唐河,美术,邢良,20%,1,河南,办公用品,消费者,CN-2016-5308381,2016/1/11,二级,￥56
2,￥3,(￥24),￥228,￥174,提前装运,1,-14%,"Binney & Smith 速写本, 整包",(￥24),2017/5/27,中国,中南,冷水江,美术,邱栋,20%,1,湖南,办公用品,消费者,US-2017-2877300,2017/5/25,二级,￥174
2,￥3,(￥93),￥698,￥533,提前装运,1,-18%,"Binney & Smith 速写本, 金属",(￥93),2016/12/13,中国,中南,广州,美术,付立,20%,3,广东,办公用品,消费者,US-2016-2501800,2016/12/11,二级,￥533
4,￥3,￥48,￥313,￥239,延迟装运,1,20%,"Sanford 荧光笔, 整包",￥48,2017/12/2,中国,中南,新乡,美术,薛娇,20%,4,河南,办公用品,消费者,CN-2017-5181244,2017/11/28,二级,￥239
4,￥3,￥31,￥543,￥414,延迟装运,1,7%,"Stanley 记号笔, 蓝色",￥31,2017/6/11,中国,中南,浯溪,美术,程雯,20%,5,湖南,办公用品,消费者,CN-2017-1397931,2017/6/7,二级,￥414
2,￥3,(￥25),￥49,￥37,提前装运,1,-67%,"Avery 装订机, 回收",(￥25),2016/4/23,中国,中南,宜昌,装订机,谭乐,40%,1,湖北,办公用品,消费者,CN-2016-2989709,2016/4/21,二级,￥37
2,￥3,(￥11),￥33,￥25,提前装运,1,-45%,"Acco 标签, 回收",(￥11),2018/11/27,中国,中南,荆门,装订机,苏涛,40%,1,湖北,办公用品,消费者,CN-2018-5816959,2018/11/25,二级,￥25
5,￥3,(￥135),￥366,￥280,延迟装运,1,-48%,"Acme 大剪刀, 蓝色",(￥135),2018/9/14,中国,中南,广水,用品,徐君,40%,2,湖北,办公用品,消费者,US-2018-1389726,2018/9/9,二级,￥280
4,￥3,(￥21),￥184,￥140,延迟装运,1,-15%,"Stiletto 开信刀, 锯齿状",(￥21),2018/12/19,中国,中南,新石,用品,范恒,40%,2,湖北,办公用品,消费者,US-2018-4517151,2018/12/15,二级,￥140
3,￥3,(￥12),￥105,￥80,准时装运,1,-15%,"Stockwell 按钉, 整包",(￥12),2015/3/4,中国,中南,武汉,系固件,丁君,40%,2,湖北,办公用品,消费者,US-2015-2547654,2015/3/1,二级,￥80
2,￥3,(￥36),￥123,￥94,提前装运,1,-38%,"Accos 橡皮筋, 金属",(￥36),2018/11/27,中国,中南,荆门,系固件,苏涛,40%,2,湖北,办公用品,消费者,CN-2018-5816959,2018/11/25,二级,￥94
3,￥3,(￥28),￥96,￥73,准时装运,1,-38%,"Ibico 装订机盖, 透明",(￥28),2016/6/23,中国,中南,武汉,装订机,涂丽,40%,2,湖北,办公用品,消费者,US-2016-2042105,2016/6/20,二级,￥73
2,￥3,(￥91),￥205,￥156,提前装运,1,-58%,"Avery 打孔机, 实惠",(￥91),2017/10/7,中国,中南,武汉,装订机,谭珊,40%,2,湖北,办公用品,消费者,US-2017-4033000,2017/10/5,二级,￥156
2,￥3,"(￥2,101)","￥5,696","￥4,347",提前装运,1,-48%,"Breville 冰箱, 白色","(￥2,101)",2015/9/7,中国,中南,孝感,器具,邓惠,40%,3,湖北,办公用品,消费者,CN-2015-2543675,2015/9/5,二级,"￥4,347"
2,￥3,(￥21),￥125,￥95,提前装运,1,-22%,"OIC 订书钉, 整包",(￥21),2015/9/7,中国,中南,孝感,系固件,邓惠,40%,3,湖北,办公用品,消费者,CN-2015-2543675,2015/9/5,二级,￥95
3,￥3,(￥35),￥160,￥122,准时装运,1,-28%,"OIC 橡皮筋, 混合尺寸",(￥35),2015/3/4,中国,中南,武汉,系固件,丁君,40%,3,湖北,办公用品,消费者,US-2015-2547654,2015/3/1,二级,￥122
2,￥3,￥3,￥49,￥37,提前装运,1,9%,"Avery 孔加固材料, 实惠",￥3,2018/11/27,中国,中南,荆门,装订机,苏涛,40%,3,湖北,办公用品,消费者,CN-2018-5816959,2018/11/25,二级,￥37
2,￥3,(￥80),"￥1,244",￥949,提前装运,1,-8%,"KitchenAid 烤面包机, 黑色",(￥80),2017/6/19,中国,中南,钟祥,器具,贺婵,40%,4,湖北,办公用品,消费者,CN-2017-3132720,2017/6/17,二级,￥949
4,￥3,￥15,￥395,￥301,延迟装运,1,5%,"Acme 开信刀, 锯齿状",￥15,2015/8/10,中国,中南,武汉,用品,钟立,40%,4,湖北,办公用品,消费者,US-2015-5712655,2015/8/6,二级,￥301
3,￥3,(￥654),"￥5,707","￥4,355",准时装运,1,-15%,"KitchenAid 微波炉, 银色",(￥654),2018/7/31,中国,中南,武汉,器具,薛武,40%,5,湖北,办公用品,消费者,CN-2018-4020885,2018/7/28,二级,"￥4,355"
2,￥3,(￥67),￥250,￥191,提前装运,1,-35%,"Ibico 装订机盖, 实惠",(￥67),2016/4/19,中国,中南,武汉,装订机,殷昌,40%,5,湖北,办公用品,消费者,CN-2016-1244124,2016/4/17,二级,￥191
3,￥3,￥21,￥237,￥181,准时装运,1,12%,"Avery 装订机, 实惠",￥21,2016/6/18,中国,中南,武汉,装订机,谢聪,40%,5,湖北,办公用品,消费者,CN-2016-1887568,2016/6/15,二级,￥181
2,￥3,￥17,￥139,￥106,提前装运,1,16%,"Avery 标签, 实惠",￥17,2015/11/24,中国,中南,鄂州,装订机,邓惠,40%,6,湖北,办公用品,消费者,CN-2015-1564715,2015/11/22,二级,￥106
3,￥3,(￥165),￥760,￥580,准时装运,1,-28%,"Acco 打孔机, 透明",(￥165),2018/7/31,中国,中南,武汉,装订机,薛武,40%,7,湖北,办公用品,消费者,CN-2018-4020885,2018/7/28,二级,￥580
2,￥3,(￥365),￥754,￥576,提前装运,1,-63%,"Avery 打孔机, 耐用",(￥365),2015/11/24,中国,中南,鄂州,装订机,邓惠,40%,7,湖北,办公用品,消费者,CN-2015-1564715,2015/11/22,二级,￥576
3,￥3,(￥40),"￥1,520","￥1,160",准时装运,1,-3%,"Ibico 订书机, 回收",(￥40),2017/10/18,中国,中南,武汉,装订机,俞丹,40%,8,湖北,办公用品,消费者,US-2017-2386979,2017/10/15,二级,"￥1,160"
2,￥3,(￥113),￥465,￥355,提前装运,1,-32%,"OIC 图钉, 整包",(￥113),2016/8/22,中国,中南,蒲圻,系固件,冯乐,40%,9,湖北,办公用品,消费者,US-2016-2666353,2016/8/20,二级,￥355
2,￥3,(￥72),￥23,￥18,提前装运,1,-400%,"BIC 荧光笔, 整包",(￥72),2017/10/7,中国,中南,武汉,美术,谭珊,80%,1,湖北,办公用品,消费者,US-2017-4033000,2017/10/5,二级,￥18
5,￥3,(￥309),￥114,￥87,延迟装运,1,-355%,"Binney & Smith 速写本, 整包",(￥309),2018/10/18,中国,中南,黄石,美术,邓惠,80%,2,湖北,办公用品,消费者,CN-2018-3409532,2018/10/13,二级,￥87
4,￥3,(￥165),￥98,￥75,延迟装运,1,-220%,"Sanford 荧光笔, 整包",(￥165),2018/7/18,中国,中南,武汉,美术,何芯,80%,5,湖北,办公用品,消费者,US-2018-1388500,2018/7/14,二级,￥75
5,￥3,"(￥1,614)",￥579,￥442,延迟装运,1,-365%,"Binney & Smith 画布, 金属","(￥1,614)",2018/9/14,中国,中南,广水,美术,徐君,80%,9,湖北,办公用品,消费者,US-2018-1389726,2018/9/9,二级,￥442
2,￥3,￥18,￥233,￥178,提前装运,1,10%,"Cuisinart 咖啡研磨机, 黑色",￥18,2016/9/28,中国,华东,上海,器具,贾伟,0%,1,上海,办公用品,消费者,CN-2016-5266113,2016/9/26,二级,￥178
3,￥3,￥46,￥436,￥332,准时装运,1,14%,"KitchenAid 咖啡研磨机, 银色",￥46,2017/5/30,中国,华东,淮南,器具,郝廉,0%,1,安徽,办公用品,消费者,CN-2017-5264054,2017/5/27,二级,￥332
2,￥3,￥43,￥356,￥272,提前装运,1,16%,"Hamilton Beach 烤面包机, 银色",￥43,2016/4/21,中国,华东,淮南,器具,龙谦,0%,1,安徽,办公用品,消费者,CN-2016-3815654,2016/4/19,二级,￥272
2,￥3,￥89,￥291,￥222,提前装运,1,40%,"Smead 盘, 金属",￥89,2016/11/29,中国,华东,宁海,收纳具,谭乐,0%,1,山东,办公用品,消费者,CN-2016-2396269,2016/11/27,二级,￥222
2,￥3,￥29,￥107,￥82,提前装运,1,36%,"Smead 文件夹, 单宽度",￥29,2017/1/14,中国,华东,椒江,收纳具,俞丹,0%,1,浙江,办公用品,消费者,US-2017-1120887,2017/1/12,二级,￥82
2,￥3,￥4,￥45,￥34,提前装运,1,12%,"Smead 圆形标签, 耐用",￥4,2015/8/31,中国,华东,扬州,标签,潘健,0%,1,江苏,办公用品,消费者,US-2015-3954075,2015/8/29,二级,￥34
4,￥3,￥12,￥40,￥31,延迟装运,1,41%,"Harbour Creations 圆形标签, 红色",￥12,2016/12/22,中国,华东,宁海,标签,邱荷,0%,1,浙江,办公用品,消费者,CN-2016-5631342,2016/12/18,二级,￥31
2,￥3,￥21,￥88,￥67,提前装运,1,31%,"Stockwell 按钉, 整包",￥21,2017/9/5,中国,华东,潍坊,系固件,陈嫒,0%,1,山东,办公用品,消费者,CN-2017-4309040,2017/9/3,二级,￥67
2,￥3,￥41,￥302,￥230,提前装运,1,18%,"Eaton 信纸, 每包 12 个",￥41,2018/9/3,中国,华东,青岛,纸张,苏晒明,0%,1,山东,办公用品,消费者,CN-2018-2805987,2018/9/1,二级,￥230
4,￥3,￥3,￥29,￥22,延迟装运,1,14%,"Avery 孔加固材料, 回收",￥3,2018/2/8,中国,华东,济南,装订机,李丽丽,0%,1,山东,办公用品,消费者,CN-2018-3825454,2018/2/4,二级,￥22
2,￥3,￥44,￥581,￥444,提前装运,1,10%,"Ames 局间信封, 银色",￥44,2018/12/28,中国,华东,龙口,信封,邵兰,0%,2,山东,办公用品,消费者,CN-2018-1891447,2018/12/26,二级,￥444
3,￥3,￥49,￥139,￥106,准时装运,1,46%,"Kraft 搭扣信封, 银色",￥49,2015/9/24,中国,华东,南昌,信封,黄康,0%,2,江西,办公用品,消费者,CN-2015-4292548,2015/9/21,二级,￥106
5,￥3,￥104,￥303,￥232,延迟装运,1,45%,"Jiffy 马尼拉纸信封, 回收",￥104,2016/6/16,中国,华东,上虞,信封,林丹,0%,2,浙江,办公用品,消费者,CN-2016-4190541,2016/6/11,二级,￥232
3,￥3,￥125,￥568,￥433,准时装运,1,29%,"Jiffy 局间信封, 每套 50 个",￥125,2017/6/27,中国,华东,杭州,信封,施菊,0%,2,浙江,办公用品,消费者,CN-2017-4167270,2017/6/24,二级,￥433
4,￥3,￥0,￥251,￥191,延迟装运,1,0%,"Kraft 外皮和封条, 每套 50 个",￥0,2018/11/10,中国,华东,枝城,信封,肖崆,0%,2,浙江,办公用品,消费者,CN-2018-2964244,2018/11/6,二级,￥191
2,￥3,￥38,￥703,￥537,提前装运,1,7%,"Hamilton Beach 烤面包机, 红色",￥38,2017/9/5,中国,华东,潍坊,器具,陈嫒,0%,2,山东,办公用品,消费者,CN-2017-4309040,2017/9/3,二级,￥537
3,￥3,￥398,"￥1,629","￥1,243",准时装运,1,32%,"Tenex 文件车, 金属",￥398,2017/6/6,中国,华东,潍坊,收纳具,巩光,0%,2,山东,办公用品,消费者,US-2017-2844736,2017/6/3,二级,"￥1,243"
5,￥3,￥435,"￥2,589","￥1,975",延迟装运,1,22%,"Rogers 锁柜, 单宽度",￥435,2015/5/14,中国,华东,莱州,收纳具,巩辉,0%,2,山东,办公用品,消费者,CN-2015-4980108,2015/5/9,二级,"￥1,975"
3,￥3,￥8,￥220,￥168,准时装运,1,5%,"Smead 文件夹, 工业",￥8,2018/4/18,中国,华东,萍乡,收纳具,蔡菊,0%,2,江西,办公用品,消费者,CN-2018-1512811,2018/4/15,二级,￥168
3,￥3,￥230,￥755,￥576,准时装运,1,40%,"Rogers 盘, 单宽度",￥230,2015/9/1,中国,华东,义乌,收纳具,孙斯云,0%,2,浙江,办公用品,消费者,US-2015-2306215,2015/8/29,二级,￥576
2,￥3,￥800,"￥2,497","￥1,906",提前装运,1,42%,"Tenex 锁柜, 单宽度",￥800,2016/2/16,中国,华东,绍兴,收纳具,许辉,0%,2,浙江,办公用品,消费者,CN-2016-3557528,2016/2/14,二级,"￥1,906"
3,￥3,￥197,￥575,￥439,准时装运,1,45%,"Eldon 盘, 金属",￥197,2016/11/23,中国,华东,福州,收纳具,邵绅,0%,2,福建,办公用品,消费者,CN-2016-1516102,2016/11/20,二级,￥439
2,￥3,￥2,￥87,￥67,提前装运,1,3%,"Harbour Creations 圆形标签, 耐用",￥2,2016/9/12,中国,华东,威海,标签,陈昌,0%,2,山东,办公用品,消费者,CN-2016-4647823,2016/9/10,二级,￥67
5,￥3,￥12,￥125,￥96,延迟装运,1,13%,"Novimex 可去除的标签, 耐用",￥12,2015/6/4,中国,华东,无锡,标签,麦平,0%,2,江苏,办公用品,消费者,CN-2015-4230867,2015/5/30,二级,￥96
5,￥3,￥26,￥75,￥57,延迟装运,1,45%,"Novimex 文件夹标签, 可调",￥26,2015/4/12,中国,华东,温岭,标签,唐安,0%,2,浙江,办公用品,消费者,CN-2015-4217149,2015/4/7,二级,￥57
2,￥3,￥178,￥477,￥364,提前装运,1,49%,"Fiskars 修剪器, 锯齿状",￥178,2017/12/21,中国,华东,平阴,用品,周诚,0%,2,山东,办公用品,消费者,CN-2017-5278404,2017/12/19,二级,￥364
2,￥3,￥18,￥265,￥202,提前装运,1,9%,"Kleencut 剪刀, 钢",￥18,2017/9/5,中国,华东,潍坊,用品,陈嫒,0%,2,山东,办公用品,消费者,CN-2017-4309040,2017/9/3,二级,￥202
3,￥3,￥48,￥169,￥129,准时装运,1,37%,"Fiskars 尺子, 钢",￥48,2016/11/23,中国,华东,福州,用品,邵绅,0%,2,福建,办公用品,消费者,CN-2016-1516102,2016/11/20,二级,￥129
2,￥3,￥7,￥140,￥107,提前装运,1,7%,"OIC 订书钉, 金属",￥7,2016/8/17,中国,华东,上海,系固件,唐凤,0%,2,上海,办公用品,消费者,CN-2016-5525339,2016/8/15,二级,￥107
4,￥3,￥145,￥381,￥291,延迟装运,1,50%,"Green Bar 令, 多色",￥145,2016/12/15,中国,华东,宿州,纸张,龙廷,0%,2,安徽,办公用品,消费者,CN-2016-2900587,2016/12/11,二级,￥291
5,￥3,￥113,￥324,￥247,延迟装运,1,46%,"Eaton 令, 回收",￥113,2018/9/8,中国,华东,宁海,纸张,戴武,0%,2,山东,办公用品,消费者,CN-2018-2810282,2018/9/3,二级,￥247
5,￥3,￥158,￥592,￥452,延迟装运,1,35%,"Green Bar 信纸, 优质",￥158,2015/5/14,中国,华东,莱州,纸张,巩辉,0%,2,山东,办公用品,消费者,CN-2015-4980108,2015/5/9,二级,￥452
3,￥3,￥6,￥209,￥159,准时装运,1,4%,"Enermax 备忘录便条, 多色",￥6,2017/11/24,中国,华东,镇江,纸张,夏惠英,0%,2,江苏,办公用品,消费者,CN-2017-1141510,2017/11/21,二级,￥159
2,￥3,￥42,￥168,￥128,提前装运,1,33%,"Eaton 备忘录便条, 优质",￥42,2015/12/10,中国,华东,镇江,纸张,邱芯,0%,2,江苏,办公用品,消费者,US-2015-1966706,2015/12/8,二级,￥128
5,￥3,￥8,￥179,￥137,延迟装运,1,6%,"施乐 羊皮纸, 多色",￥8,2017/9/7,中国,华东,三明,纸张,刘立,0%,2,福建,办公用品,消费者,CN-2017-5844177,2017/9/2,二级,￥137
4,￥3,￥25,￥270,￥206,延迟装运,1,12%,"Boston 荧光笔, 混合尺寸",￥25,2018/6/21,中国,华东,上海,美术,巩光,0%,2,上海,办公用品,消费者,CN-2018-2063413,2018/6/17,二级,￥206
2,￥3,￥33,￥232,￥177,提前装运,1,19%,"BIC 荧光笔, 蓝色",￥33,2018/7/22,中国,华东,兖州,美术,严聪,0%,2,山东,办公用品,消费者,CN-2018-3798503,2018/7/20,二级,￥177
2,￥3,￥94,￥331,￥253,提前装运,1,37%,"Sanford 铅笔刀, 金属",￥94,2018/1/2,中国,华东,济南,美术,余丽娜,0%,2,山东,办公用品,消费者,US-2017-3065733,2017/12/31,二级,￥253
5,￥3,￥104,￥647,￥494,延迟装运,1,21%,"Ibico 订书机, 耐用",￥104,2016/7/5,中国,华东,芜湖,装订机,俞明,0%,2,安徽,办公用品,消费者,CN-2016-2554132,2016/6/30,二级,￥494
5,￥3,￥196,￥599,￥457,延迟装运,1,43%,"Wilson Jones 订书机, 实惠",￥196,2016/7/5,中国,华东,芜湖,装订机,俞明,0%,2,安徽,办公用品,消费者,CN-2016-2554132,2016/6/30,二级,￥457
4,￥3,￥57,￥158,￥120,延迟装运,1,47%,"Avery 装订机, 实惠",￥57,2018/12/30,中国,华东,寒亭,装订机,邢伟,0%,2,山东,办公用品,消费者,CN-2018-3815654,2018/12/26,二级,￥120
2,￥3,￥54,￥357,￥272,提前装运,1,20%,"Cardinal 打孔机, 回收",￥54,2017/7/25,中国,华东,平邑,装订机,马凤,0%,2,山东,办公用品,消费者,CN-2017-5717181,2017/7/23,二级,￥272
4,￥3,￥24,￥163,￥124,延迟装运,1,19%,"Acco 装订机盖, 实惠",￥24,2018/1/20,中国,华东,南昌,装订机,周康,0%,2,江西,办公用品,消费者,CN-2018-3127854,2018/1/16,二级,￥124
2,￥3,￥0,￥376,￥287,提前装运,1,0%,"Kraft 外皮和封条, 每套 50 个",￥0,2016/4/21,中国,华东,淮南,信封,龙谦,0%,3,安徽,办公用品,消费者,CN-2016-3815654,2016/4/19,二级,￥287
4,￥3,￥64,￥247,￥188,延迟装运,1,34%,"GlobeWeis 搭扣信封, 红色",￥64,2018/4/7,中国,华东,济宁,信封,谢君,0%,3,山东,办公用品,消费者,CN-2018-2281857,2018/4/3,二级,￥188
4,￥3,￥123,￥376,￥287,延迟装运,1,43%,"Cameo 商业信封, 红色",￥123,2017/5/6,中国,华东,烟台,信封,邓实,0%,3,山东,办公用品,消费者,CN-2017-2330845,2017/5/2,二级,￥287
3,￥3,￥166,￥436,￥333,准时装运,1,50%,"GlobeWeis 外皮和封条, 银色",￥166,2015/10/4,中国,华东,杭州,信封,冯青,0%,3,浙江,办公用品,消费者,CN-2015-5834341,2015/10/1,二级,￥333
5,￥3,￥45,￥143,￥109,延迟装运,1,41%,"Kraft 搭扣信封, 回收",￥45,2018/8/5,中国,华东,漳州,信封,柯婷,0%,3,福建,办公用品,消费者,CN-2018-2747579,2018/7/31,二级,￥109
5,￥3,￥209,"￥1,303",￥995,延迟装运,1,21%,"Hamilton Beach 搅拌机, 红色",￥209,2018/11/1,中国,华东,巢湖,器具,殷宣,0%,3,安徽,办公用品,消费者,CN-2018-1230612,2018/10/27,二级,￥995
2,￥3,"￥1,407","￥5,122","￥3,909",提前装运,1,36%,"Cuisinart 微波炉, 银色","￥1,407",2018/1/2,中国,华东,济南,器具,余丽娜,0%,3,山东,办公用品,消费者,US-2017-3065733,2017/12/31,二级,"￥3,909"
4,￥3,￥103,￥294,￥225,延迟装运,1,46%,"Eldon 文件夹, 金属",￥103,2018/6/21,中国,华东,上海,收纳具,巩光,0%,3,上海,办公用品,消费者,CN-2018-2063413,2018/6/17,二级,￥225
2,￥3,￥302,"￥1,132",￥864,提前装运,1,35%,"Rogers 盘, 蓝色",￥302,2017/6/6,中国,华东,上海,收纳具,康丽,0%,3,上海,办公用品,消费者,CN-2017-5278404,2017/6/4,二级,￥864
5,￥3,"￥1,299","￥3,623","￥2,765",延迟装运,1,47%,"Smead 锁柜, 金属","￥1,299",2018/11/28,中国,华东,淮南,收纳具,涂丽,0%,3,安徽,办公用品,消费者,CN-2018-5774848,2018/11/23,二级,"￥2,765"
2,￥3,"￥1,039","￥3,891","￥2,969",提前装运,1,35%,"Rogers 锁柜, 工业","￥1,039",2016/10/11,中国,华东,临清,收纳具,胡凤,0%,3,山东,办公用品,消费者,CN-2016-1399108,2016/10/9,二级,"￥2,969"
2,￥3,￥243,￥995,￥759,提前装运,1,32%,"Tenex 盘, 单宽度",￥243,2018/7/3,中国,华东,济南,收纳具,邱丽,0%,3,山东,办公用品,消费者,CN-2018-5703090,2018/7/1,二级,￥759
2,￥3,￥233,￥898,￥685,提前装运,1,34%,"Smead 盘, 工业",￥233,2017/12/5,中国,华东,潍坊,收纳具,蔡安,0%,3,山东,办公用品,消费者,CN-2017-1374105,2017/12/3,二级,￥685
